"productkey","productcode","productname","manufacturer","brand","color","weightunit","weight","cost","price","categorykey","categoryname","subcategorykey","subcategoryname"
92,106027,"NT Wireless Transmitter and Bluetooth Headphones M150 Red","Northwind Traders","Northwind Traders","Red","pounds","2","49.69","149.99",1,"Audio",106,"Bluetooth Headphones"
93,106028,"WWI Stereo Bluetooth Headphones E1000 Blue","Wide World Importers","Wide World Importers","Blue","ounces","8.2","34.36","67.4",1,"Audio",106,"Bluetooth Headphones"
94,106029,"WWI Stereo Bluetooth Headphones E1000 Black","Wide World Importers","Wide World Importers","Black","ounces","5","34.36","67.4",1,"Audio",106,"Bluetooth Headphones"
95,106030,"WWI Stereo Bluetooth Headphones E1000 Silver","Wide World Importers","Wide World Importers","Silver","ounces","6.4","34.36","67.4",1,"Audio",106,"Bluetooth Headphones"
96,106031,"WWI Stereo Bluetooth Headphones E1000 White","Wide World Importers","Wide World Importers","White","pounds","0.17","34.36","67.4",1,"Audio",106,"Bluetooth Headphones"
97,106032,"WWI Stereo Bluetooth Headphones E1000 Green","Wide World Importers","Wide World Importers","Green","pounds","1","34.36","67.4",1,"Audio",106,"Bluetooth Headphones"
98,106033,"WWI Wireless Bluetooth Stereo Headphones M170 Silver","Wide World Importers","Wide World Importers","Silver","ounces","1.14","55.18","120",1,"Audio",106,"Bluetooth Headphones"
99,106034,"WWI Wireless Bluetooth Stereo Headphones M170 Black","Wide World Importers","Wide World Importers","Black","ounces","12.8","55.18","120",1,"Audio",106,"Bluetooth Headphones"
100,106035,"WWI Wireless Bluetooth Stereo Headphones M170 White","Wide World Importers","Wide World Importers","White","ounces","5.9","55.18","120",1,"Audio",106,"Bluetooth Headphones"
101,106036,"WWI Wireless Bluetooth Stereo Headphones M170 Pink","Wide World Importers","Wide World Importers","Pink","pounds","1","55.18","120",1,"Audio",106,"Bluetooth Headphones"
102,106037,"WWI Wireless Bluetooth Stereo Headphones M270 Silver","Wide World Importers","Wide World Importers","Silver","pounds","1","52.88","115",1,"Audio",106,"Bluetooth Headphones"
103,106038,"WWI Wireless Bluetooth Stereo Headphones M270 Black","Wide World Importers","Wide World Importers","Black","ounces","12.8","52.88","115",1,"Audio",106,"Bluetooth Headphones"
104,106039,"WWI Wireless Bluetooth Stereo Headphones M270 White","Wide World Importers","Wide World Importers","White","pounds","1","52.88","115",1,"Audio",106,"Bluetooth Headphones"
105,106040,"WWI Wireless Bluetooth Stereo Headphones M270 Pink","Wide World Importers","Wide World Importers","Pink","ounces","3.2","52.88","115",1,"Audio",106,"Bluetooth Headphones"
106,106041,"WWI Stereo Bluetooth Headphones New Generation M370 Black","Wide World Importers","Wide World Importers","Black","pounds","1.8","61.16","132.99",1,"Audio",106,"Bluetooth Headphones"
107,106042,"WWI Stereo Bluetooth Headphones New Generation M370 White","Wide World Importers","Wide World Importers","White","pounds","2","61.16","132.99",1,"Audio",106,"Bluetooth Headphones"
108,106043,"WWI Stereo Bluetooth Headphones New Generation M370 Yellow","Wide World Importers","Wide World Importers","Yellow","ounces","11.4","61.16","132.99",1,"Audio",106,"Bluetooth Headphones"
109,106044,"WWI Stereo Bluetooth Headphones New Generation M370 Orange","Wide World Importers","Wide World Importers","Orange","ounces","3.2","61.16","132.99",1,"Audio",106,"Bluetooth Headphones"
110,106045,"WWI Stereo Bluetooth Headphones New Generation M370 Blue","Wide World Importers","Wide World Importers","Blue","pounds","2","61.16","132.99",1,"Audio",106,"Bluetooth Headphones"
111,106046,"WWI Wireless Transmitter and Bluetooth Headphones X250 Black","Wide World Importers","Wide World Importers","Black","pounds","2","82.83","249.99",1,"Audio",106,"Bluetooth Headphones"
112,106047,"WWI Wireless Transmitter and Bluetooth Headphones X250 Blue","Wide World Importers","Wide World Importers","Blue","pounds","2","82.83","249.99",1,"Audio",106,"Bluetooth Headphones"
113,106048,"WWI Wireless Transmitter and Bluetooth Headphones X250 White","Wide World Importers","Wide World Importers","White","ounces","7.7","82.83","249.99",1,"Audio",106,"Bluetooth Headphones"
114,106049,"WWI Wireless Transmitter and Bluetooth Headphones X250 Red","Wide World Importers","Wide World Importers","Red","ounces","2.4","82.83","249.99",1,"Audio",106,"Bluetooth Headphones"
115,106050,"WWI Wireless Transmitter and Bluetooth Headphones X250 Silver","Wide World Importers","Wide World Importers","Silver","ounces","11.5","82.83","249.99",1,"Audio",106,"Bluetooth Headphones"
116,201001,"Adventure Works 20"" CRT TV E15 Silver","Adventure Works","Adventure Works ","Silver","pounds","27.9","86.67","169.99",2,"TV and Video",201,"Televisions"
117,201002,"Adventure Works 20"" CRT TV E15 Black","Adventure Works","Adventure Works","Black","pounds","13","86.67","169.99",2,"TV and Video",201,"Televisions"
118,201003,"Adventure Works 20"" CRT TV E15 White","Adventure Works","Adventure Works","White","pounds","9.8","86.67","169.99",2,"TV and Video",201,"Televisions"
119,201004,"Adventure Works 13"" Color TV E25 Silver","Adventure Works","Adventure Works","Silver","pounds","13.2","61.17","119.99",2,"TV and Video",201,"Televisions"
120,201005,"Adventure Works 13"" Color TV E25 Black","Adventure Works","Adventure Works","Black","pounds","20.1","61.17","119.99",2,"TV and Video",201,"Televisions"
121,201006,"Adventure Works 13"" Color TV E25 White","Adventure Works","Adventure Works","White","pounds","6","61.17","119.99",2,"TV and Video",201,"Televisions"
122,201007,"Adventure Works 19"" Portable LCD HDTV M110 Silver","Adventure Works","Adventure Works","Silver","pounds","2.7","128.76","279.99",2,"TV and Video",201,"Televisions"
123,201008,"Adventure Works 19"" Portable LCD HDTV M110 Black","Adventure Works","Adventure Works","Black","pounds","2.7","128.76","279.99",2,"TV and Video",201,"Televisions"
124,201009,"Adventure Works 19"" Portable LCD HDTV M110 White","Adventure Works","Adventure Works","White","pounds","9.6","128.76","279.99",2,"TV and Video",201,"Televisions"
125,201010,"Adventure Works 19"" Color Digital TV E35 Silver","Adventure Works","Adventure Works","Silver","pounds","7.7","73.11","143.4",2,"TV and Video",201,"Televisions"
126,201011,"Adventure Works 19"" Color Digital TV E35 Black","Adventure Works","Adventure Works","Black","pounds","50","73.11","143.4",2,"TV and Video",201,"Televisions"
127,201012,"Adventure Works 19"" Color Digital TV E35 White","Adventure Works","Adventure Works","White","pounds","54.5","73.11","143.4",2,"TV and Video",201,"Televisions"
128,201013,"Adventure Works 19"" Color Digital TV E35 Brown","Adventure Works","Adventure Works","Brown","pounds","2","73.11","143.4",2,"TV and Video",201,"Televisions"
129,201014,"Adventure Works 20"" Analog CRT TV E45 Silver","Adventure Works","Adventure Works","Silver","pounds","32.8","101.97","200",2,"TV and Video",201,"Televisions"
130,201015,"Adventure Works 20"" Analog CRT TV E45 Black","Adventure Works","Adventure Works","Black","pounds","21.8","101.97","200",2,"TV and Video",201,"Televisions"
131,201016,"Adventure Works 20"" Analog CRT TV E45 White","Adventure Works","Adventure Works","White","pounds","56.4","101.97","200",2,"TV and Video",201,"Televisions"
132,201017,"Adventure Works 20"" Analog CRT TV E45 Brown","Adventure Works","Adventure Works","Brown","pounds","20.9","101.97","200",2,"TV and Video",201,"Televisions"
133,201018,"Adventure Works 20"" LCD HDTV M120 Silver","Adventure Works","Adventure Works","Silver","pounds","18.3","160.93","349.95",2,"TV and Video",201,"Televisions"
134,201019,"Adventure Works 20"" LCD HDTV M120 Black","Adventure Works","Adventure Works","Black","pounds","23.2","160.93","349.95",2,"TV and Video",201,"Televisions"
135,201020,"Adventure Works 20"" LCD HDTV M120 White","Adventure Works","Adventure Works","White","pounds","24","160.93","349.95",2,"TV and Video",201,"Televisions"
136,201021,"Adventure Works 20"" LCD HDTV M120 Brown","Adventure Works","Adventure Works","Brown","pounds","25.2","160.93","349.95",2,"TV and Video",201,"Televisions"
137,201022,"Adventure Works 32"" LCD HDTV M130 Silver","Adventure Works","Adventure Works","Silver","pounds","57.4","229.93","499.99",2,"TV and Video",201,"Televisions"
138,201023,"Adventure Works 32"" LCD HDTV M130 Black","Adventure Works","Adventure Works","Black","pounds","11.1","229.93","499.99",2,"TV and Video",201,"Televisions"
139,201024,"Adventure Works 32"" LCD HDTV M130 White","Adventure Works","Adventure Works","White","pounds","12.3","229.93","499.99",2,"TV and Video",201,"Televisions"
140,201025,"Adventure Works 32"" LCD HDTV M130 Brown","Adventure Works","Adventure Works","Brown","pounds","49.2","229.93","499.99",2,"TV and Video",201,"Televisions"
141,201026,"Adventure Works 15.6"" LCD TV M130W Silver","Adventure Works","Adventure Works","Silver","pounds","12.3","152.94","299.99",2,"TV and Video",201,"Televisions"
142,201027,"Adventure Works 15.6"" LCD TV M130W Black","Adventure Works","Adventure Works","Black","pounds","49.2","152.94","299.99",2,"TV and Video",201,"Televisions"
143,201028,"Adventure Works 15.6"" LCD TV M130W White","Adventure Works","Adventure Works","White","pounds","27.6","152.94","299.99",2,"TV and Video",201,"Televisions"
144,201029,"Adventure Works 15.6"" LCD TV M130W Brown","Adventure Works","Adventure Works","Brown","pounds","24","152.94","299.99",2,"TV and Video",201,"Televisions"
145,201030,"Adventure Works 52"" LCD HDTV X590 Silver","Adventure Works","Adventure Works","Silver","pounds","22.5","960.82","2899.99",2,"TV and Video",201,"Televisions"
146,201031,"Adventure Works 52"" LCD HDTV X590 Black","Adventure Works","Adventure Works","Black","pounds","1","960.82","2899.99",2,"TV and Video",201,"Televisions"
147,201032,"Adventure Works 52"" LCD HDTV X590 White","Adventure Works","Adventure Works","White","pounds","43","960.82","2899.99",2,"TV and Video",201,"Televisions"
148,201033,"Adventure Works 52"" LCD HDTV X590 Brown","Adventure Works","Adventure Works","Brown","pounds","32.4","960.82","2899.99",2,"TV and Video",201,"Televisions"
149,201034,"Adventure Works 40"" LCD HDTV M690 Silver","Adventure Works","Adventure Works","Silver","pounds","43","392.6","1184.97",2,"TV and Video",201,"Televisions"
150,201035,"Adventure Works 40"" LCD HDTV M690 Black","Adventure Works","Adventure Works","Black","pounds","49.6","392.6","1184.97",2,"TV and Video",201,"Televisions"
151,201036,"Adventure Works 40"" LCD HDTV M690 White","Adventure Works","Adventure Works","White","pounds","27","392.6","1184.97",2,"TV and Video",201,"Televisions"
152,201037,"Adventure Works 40"" LCD HDTV M690 Brown","Adventure Works","Adventure Works","Brown","pounds","31","392.6","1184.97",2,"TV and Video",201,"Televisions"
153,201038,"Adventure Works 26"" 720p LCD HDTV M140 Silver","Adventure Works","Adventure Works","Silver","pounds","59.3","216.12","469.97",2,"TV and Video",201,"Televisions"
154,201039,"Adventure Works 26"" 720p LCD HDTV M140 Black","Adventure Works","Adventure Works","Black","pounds","1.3","216.12","469.97",2,"TV and Video",201,"Televisions"
155,201040,"Adventure Works 26"" 720p LCD HDTV M140 White","Adventure Works","Adventure Works","White","pounds","47","216.12","469.97",2,"TV and Video",201,"Televisions"
156,201041,"Adventure Works 26"" 720p LCD HDTV M140 Brown","Adventure Works","Adventure Works","Brown","pounds","66.1","216.12","469.97",2,"TV and Video",201,"Televisions"
157,201042,"Adventure Works 37"" 1080p LCD HDTV M150W Silver","Adventure Works","Adventure Works","Silver","pounds","71","505.85","1099.99",2,"TV and Video",201,"Televisions"
158,201043,"Adventure Works 37"" 1080p LCD HDTV M150W Black","Adventure Works","Adventure Works","Black","pounds","41.2","505.85","1099.99",2,"TV and Video",201,"Televisions"
159,201044,"Adventure Works 37"" 1080p LCD HDTV M150W White","Adventure Works","Adventure Works","White","pounds","19.2","505.85","1099.99",2,"TV and Video",201,"Televisions"
160,201045,"Adventure Works 37"" 1080p LCD HDTV M150W Brown","Adventure Works","Adventure Works","Brown","pounds","43.4","505.85","1099.99",2,"TV and Video",201,"Televisions"
161,201046,"Adventure Works 52"" LCD HDTV X790W Silver","Adventure Works","Adventure Works","Silver","pounds","11.1","527.53","1592.2",2,"TV and Video",201,"Televisions"
162,201047,"Adventure Works 52"" LCD HDTV X790W Black","Adventure Works","Adventure Works","Black","pounds","49.2","527.53","1592.2",2,"TV and Video",201,"Televisions"
163,201048,"Adventure Works 52"" LCD HDTV X790W White","Adventure Works","Adventure Works","White","pounds","10.2","527.53","1592.2",2,"TV and Video",201,"Televisions"
164,201049,"Adventure Works 52"" LCD HDTV X790W Brown","Adventure Works","Adventure Works","Brown","pounds","25.1","527.53","1592.2",2,"TV and Video",201,"Televisions"
165,201050,"Adventure Works 42"" LCD HDTV M55 Black","Adventure Works","Adventure Works","Black","pounds","64.8","389.26","763.51",2,"TV and Video",201,"Televisions"
166,202001,"SV 16xDVD M300 Black","Southridge Video","Southridge Video","Black","pounds","7","54.72","119",2,"TV and Video",202,"VCD & DVD"
167,202002,"SV 8xDVD E100 Black","Southridge Video","Southridge Video","Black","pounds","8","35.18","69",2,"TV and Video",202,"VCD & DVD"
